Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2012-01-15 15:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,PARK,NONE,CARMELITA ST / WALLER ST,-122.434405808307,37.7706464590678
2013-05-02 16:00:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,MISSION,"ARREST, BOOKED",2000 Block of MISSION ST,-122.41965834371,37.7642205603745
2005-10-17 20:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,TARAVAL,NONE,2300 Block of 48TH AV,-122.506760826679,37.7425827760769
2014-05-28 22:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,TENDERLOIN,NONE,600 Block of ELLIS ST,-122.416916142188,37.78439444920679
2011-01-28 18:53:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,CENTRAL,"ARREST, BOOKED",100 Block of CALIFORNIA ST,-122.39821721889,37.793486649905
2003-10-16 15:50:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,MISSION,NONE,2500 Block of HARRISON ST,-122.4123405159,37.7566116116243
2007-10-01 16:00:00,OTHER OFFENSES,TAMPERING WITH A VEHICLE,Monday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2007-09-20 20:00:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Thursday,TENDERLOIN,"ARREST, BOOKED",JONES ST / ELLIS ST,-122.412784096502,37.78486569395261
2009-08-03 22:40:00,TRESPASS,TRESPASSING,Monday,MISSION,"ARREST, CITED",1000 Block of POTRERO AV,-122.406539115148,37.7564864109309
2008-04-18 17:15:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,RICHMOND,PSYCHOPATHIC CASE,3800 Block of BALBOA ST,-122.499991175441,37.775538190841395
2009-01-24 13:00:00,OTHER OFFENSES,TAMPERING WITH A VEHICLE,Saturday,TARAVAL,NONE,100 Block of SERRANO DR,-122.47753681430099,37.720152391561705
2007-01-27 16:30:00,ASSAULT,BATTERY,Saturday,BAYVIEW,NONE,6200 Block of 3RD ST,-122.395660336301,37.7220370884795
2003-03-17 14:00:00,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Monday,TENDERLOIN,NONE,300 Block of EDDY ST,-122.412930522059,37.7838344374141
2003-01-23 11:30:00,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Thursday,SOUTHERN,"ARREST, CITED",DIVISION ST / VERMONT ST,-122.40499212613399,37.7697163052025
2005-06-15 14:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TENDERLOIN,"ARREST, CITED",200 Block of GOLDEN GATE AV,-122.41508317779899,37.781652445717505
2006-12-15 12:47:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Friday,NORTHERN,NONE,100 Block of VANNESS AV,-122.41945689439301,37.776861718671796
2013-07-27 07:09:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,SOUTHERN,NONE,5TH ST / TOWNSEND ST,-122.397207764774,37.7753329097568
2012-11-15 05:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,SOUTHERN,NONE,100 Block of 10TH ST,-122.415189726459,37.7746211429886
2009-12-21 11:26:00,WARRANTS,WARRANT ARREST,Monday,SOUTHERN,"ARREST, CITED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2003-09-18 08:30:00,ASSAULT,THREATS AGAINST LIFE,Thursday,BAYVIEW,NONE,0 Block of HUDSON CT,-122.379213826356,37.732368620468
2007-01-27 08:57:00,WARRANTS,WARRANT ARREST,Saturday,MISSION,"ARREST, BOOKED",17TH ST / SOUTH VAN NESS AV,-122.41733258258999,37.7635718955893
2006-10-19 15:15:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.408466556173,37.7807008318778
2013-05-28 22:05:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,INGLESIDE,NONE,200 Block of 27TH ST,-122.425856100065,37.7470184567408
2008-03-07 11:25:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Friday,BAYVIEW,"ARREST, BOOKED",1700 Block of LASALLE AV,-122.391434800433,37.7381270935013
2010-04-22 23:38:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,NORTHERN,"ARREST, CITED",FRANKLIN ST / FELL ST,-122.421149407714,37.776159309766896
2004-08-05 06:00:00,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Thursday,BAYVIEW,NONE,0 Block of CAMERON WY,-122.385879189053,37.7202869779119
2014-09-07 21:46:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Sunday,BAYVIEW,NONE,CAMBRIDGE ST / WAYLAND ST,-122.41691777931801,37.7228251987383
2006-08-11 16:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Friday,MISSION,NONE,400 Block of UTAH ST,-122.406297187866,37.7638925156332
2008-10-29 10:11:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,SOUTHERN,"ARREST, CITED",HOWARD ST / 6TH ST,-122.407163046954,37.7797376338991
2014-06-11 00:01:00,FORGERY/COUNTERFEITING,FORGERY & COUNTERFEITING (GENERAL),Wednesday,SOUTHERN,"ARREST, CITED",800 Block of MISSION ST,-122.404636264759,37.7842645474624
2008-10-05 22:50:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,TARAVAL,PSYCHOPATHIC CASE,2500 Block of 39TH AV,-122.496849523328,37.739294127898795
2014-06-15 20:35:00,LARCENY/THEFT,GRAND THEFT BICYCLE,Sunday,SOUTHERN,NONE,4TH ST / MISSION ST,-122.404270179486,37.78447885387449
2010-02-26 22:45:00,PROSTITUTION,SOLICITS TO VISIT HOUSE OF PROSTITUTION,Friday,MISSION,"ARREST, BOOKED",19TH ST / CAPP ST,-122.41812008648998,37.7603012340397
2003-01-22 13:11:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Wednesday,TARAVAL,"ARREST, BOOKED",0 Block of RANDOLPH ST,-122.463058810955,37.7142492282589
2011-09-24 20:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,MISSION,NONE,25TH ST / VALENCIA ST,-122.420506814667,37.7505052869191
2010-09-26 21:31:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Sunday,TENDERLOIN,"ARREST, BOOKED",400 Block of ELLIS ST,-122.413609328985,37.784696907904
2012-03-22 11:25:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,NORTHERN,NONE,2500 Block of SACRAMENTO ST,-122.434876844289,37.789785369956896
2007-06-02 00:12:00,ROBBERY,ATTEMPTED ROBBERY COMM. ESTABLISHMENT WITH A GUN,Saturday,CENTRAL,NONE,1600 Block of THE EMBARCADERONORTH ST,-122.410774214375,37.8084350175869
2011-07-31 01:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,MISSION,NONE,1900 Block of BRYANT ST,-122.410248918994,37.7623778857458
2003-08-22 09:00:00,NON-CRIMINAL,LOST PROPERTY,Friday,CENTRAL,NONE,600 Block of STOCKTON ST,-122.407354509443,37.7917926375029
2006-11-18 16:30:00,NON-CRIMINAL,LOST PROPERTY,Saturday,SOUTHERN,NONE,MARKET ST / 3RD ST,-122.403434086745,37.787643050179994
2009-04-13 12:30:00,SECONDARY CODES,DOMESTIC VIOLENCE,Monday,MISSION,"ARREST, BOOKED",3100 Block of 26TH ST,-122.412990607244,37.74940649832929
