,F,TSLA,GOOG,IBM,AAPL
2014-05-13,12.6152,190.16,533.09,165.1082,78.6497
2014-05-14,12.5277,190.62,526.65,162.1272,78.6643
2014-05-15,12.4799,188.59,519.98,160.1857,77.9954
2014-05-16,12.5356,191.56,520.63,160.7011,79.1464
2014-05-19,12.6629,196.09,528.86,160.6496,80.0843
2014-05-20,12.5436,195.3,529.77,158.8369,80.1002
2014-05-21,12.6549,199.45,538.94,160.1255,80.3121
2014-05-22,12.6549,204.88,545.06,159.5156,80.4393
2014-05-23,12.7424,207.3,552.7,159.7389,81.3479
2014-05-27,12.8538,211.56,565.95,158.7424,82.8712
2014-05-28,12.9731,210.24,561.68,157.2819,82.6566
2014-05-29,13.156,210.24,560.08,157.8661,84.1627
2014-05-30,13.0765,207.77,559.89,158.3816,83.8475
2014-06-02,13.0765,204.7,553.93,159.5242,83.2713
2014-06-03,13.164,204.94,544.94,158.3902,84.4488
2014-06-04,13.3549,203.99,544.66,158.5104,85.4131
2014-06-05,13.2674,206.9,553.9,159.7733,85.7483
2014-06-06,13.5856,208.171,556.33,160.1083,85.5125
2014-06-09,13.5219,205.31,562.12,159.9795,86.8808
2014-06-10,13.5299,202.3,560.55,158.3214,87.3908
2014-06-11,13.4424,204.47,558.84,156.5689,87.0292
2014-06-12,13.1401,203.52,551.35,155.684,85.5735
2014-06-13,13.172,206.42,551.76,156.8352,84.637
2014-06-16,13.2276,224.61,544.28,156.6548,85.49
2014-06-17,13.3549,231.67,543.01,156.5775,85.3787
2014-06-18,13.3867,227.12,553.37,157.7287,85.4715
2014-06-19,13.3469,227.79,554.9,157.0586,85.1747
2014-06-20,13.2594,229.59,556.36,155.9675,84.2939
2014-06-23,13.4265,237.22,564.95,156.4744,84.2197
2014-06-24,13.4981,232.5,564.62,155.3919,83.7097
2014-06-25,13.681,236.891,578.65,155.2545,83.7839
2014-06-26,13.681,235.6,576.0,154.9538,84.2846
2014-06-27,13.7446,239.06,577.24,156.105,85.286
2014-06-30,13.7128,240.06,575.28,155.727,86.1669
2014-07-01,13.689,239.72,582.67,160.0912,86.7139
2014-07-02,13.6969,229.425,582.335,161.8437,86.6768
2014-07-03,13.7765,229.25,584.73,161.964,87.1868
2014-07-07,13.7765,222.66,582.25,161.543,88.9838
2014-07-08,13.6094,219.07,571.09,160.8386,88.4108
2014-07-09,13.864,223.06,576.08,161.8695,88.4478
2014-07-10,13.7606,219.46,571.1,161.2509,88.1187
2014-07-11,13.8958,218.13,579.18,161.5087,88.2902
2014-07-14,13.9594,226.7,584.87,163.1066,89.4307
2014-07-15,13.9515,219.58,584.78,161.9296,88.3829
2014-07-16,14.1583,217.16,582.66,165.2543,87.8822
2014-07-17,14.1105,215.4,573.7299,165.366,86.3151
2014-07-18,14.0946,220.0201,595.08,165.3746,87.5577
2014-07-21,14.0787,220.54,589.47,163.9571,87.1024
2014-07-22,14.1742,219.58,594.74,166.7405,87.8266
2014-07-23,14.1424,222.49,595.98,166.3453,90.1168
2014-07-24,14.1901,223.54,593.35,167.7285,89.9685
2014-07-25,14.0151,223.57,589.02,167.0068,90.5628
2014-07-28,14.031,224.82,590.6,168.1924,91.8137
2014-07-29,13.9753,225.01,585.61,167.1529,91.2202
2014-07-30,13.9873,228.92,587.42,166.6632,91.007
2014-07-31,13.6348,223.3,571.6,164.6615,88.6426
2014-08-01,13.4666,233.27,566.07,162.4966,89.134
2014-08-04,13.6348,238.52,573.15,162.9176,88.6333
2014-08-05,13.5147,238.49,565.07,160.7355,88.1975
2014-08-06,13.6028,248.9301,566.374,160.7095,88.0491
2014-08-07,13.4746,252.39,563.36,159.2664,88.0398
2014-08-08,13.6909,248.13,568.77,161.2799,88.2821
2014-08-11,13.755,259.32,567.88,162.0058,89.4468
2014-08-12,13.787,259.96,562.73,161.8934,89.4282
2014-08-13,13.9553,260.31,574.78,162.4206,90.6116
2014-08-14,13.9633,261.38,574.65,162.3601,90.8539
2014-08-15,13.8672,262.01,573.48,161.928,91.3012
2014-08-18,13.9633,259.94,582.16,163.6391,92.4008
2014-08-19,13.9072,256.76,586.86,164.2526,93.6774
2014-08-20,13.9473,255.71,584.49,164.2785,93.7147
2014-08-21,13.9393,254.34,583.37,165.255,93.724
2014-08-22,13.755,256.78,582.56,164.5464,94.4135
2014-08-25,13.8031,262.55,580.2,165.1946,94.6185
2014-08-26,13.771,261.74,577.86,166.776,94.0119
2014-08-27,13.9072,263.25,571.0,166.1365,95.1683
2014-08-28,13.9553,263.86,569.2,165.9205,95.2801
2014-08-29,13.9473,269.7,571.6,166.1797,95.5131
2014-09-02,14.0995,284.12,577.33,165.5402,96.2586
2014-09-03,13.9953,281.19,577.94,165.8772,92.1958
2014-09-04,13.8351,286.04,581.98,164.7798,91.4317
2014-09-05,13.731,277.39,586.08,165.2291,92.2237
2014-09-08,13.4586,282.11,589.72,164.3131,91.6553
2014-09-09,13.3224,278.48,581.01,164.1835,91.3105
2014-09-10,13.3224,281.1,583.1,165.5229,94.1153
2014-09-11,13.3464,280.31,581.35,165.6785,94.516
2014-09-12,13.2904,279.2,575.62,165.2983,94.7304
2014-09-15,13.1942,253.86,573.1,165.7563,94.7024
2014-09-16,13.2343,260.74,579.95,166.7501,93.9849
2014-09-17,13.2423,261.38,584.77,166.6118,94.6558
2014-09-18,13.2824,263.82,589.27,167.4328,94.8515
2014-09-19,13.3384,259.32,596.08,167.6488,94.0781
2014-09-22,13.1061,250.03,587.37,166.8797,94.1713
2014-09-23,12.9539,250.41,581.13,165.5921,95.6436
2014-09-24,13.1462,252.14,587.99,166.1884,94.8142
2014-09-25,12.9779,246.95,575.06,163.3366,91.1987
2014-09-26,13.0821,246.6,577.1,164.244,93.8824
2014-09-29,12.1047,245.26,576.36,163.881,93.286
2014-09-30,11.8484,242.68,577.36,161.7465,93.8824
2014-10-01,11.6881,240.24,568.27,161.7465,92.4194
2014-10-02,11.6641,251.42,570.08,161.5218,93.0903
2014-10-03,11.6881,255.21,575.28,163.0428,92.8294
2014-10-06,11.6321,260.62,577.35,163.3625,92.8294
2014-10-07,11.2956,259.57,563.74,160.4848,92.0187
2014-10-08,11.3837,259.28,572.5,163.6391,93.929
2014-10-09,11.0873,257.01,560.88,161.0984,94.134
2014-10-10,11.0473,236.91,544.49,160.675,93.8637
2014-10-13,10.847,224.59,533.21,158.5923,93.0065
2014-10-14,11.0393,227.06,537.94,158.8343,92.0187
2014-10-15,10.9111,229.7,530.03,157.0627,90.8912
2014-10-16,11.1995,226.35,524.51,155.4122,89.6984
2014-10-17,11.2315,227.48,511.17,157.322,91.0123
2014-10-20,11.3517,230.47,520.84,146.131,92.9599
2014-10-21,11.4238,235.34,526.54,141.0583,95.4851
2014-10-22,11.3196,231.1,532.71,139.8139,95.9697
2014-10-23,11.5359,235.29,543.98,140.1509,97.6843
2014-10-24,11.0393,235.24,539.78,140.0645,98.0477
2014-10-27,11.0713,221.67,540.77,139.883,97.9452
2014-10-28,11.3437,242.77,548.9,141.3781,99.4641
2014-10-29,11.2426,238.1,549.33,141.2571,100.0232
2014-10-30,11.275,238.66,550.31,142.0262,99.6877
2014-10-31,11.3881,241.7,559.08,142.0694,100.6382
2014-11-03,11.3073,242.59,555.22,142.0348,101.9428
2014-11-04,11.275,238.93,554.11,140.5571,101.1973
2014-11-05,11.2669,230.97,545.92,139.8398,101.4396
2014-11-06,11.469,241.22,542.04,140.4837,101.7296
2014-11-07,11.4528,240.2,541.01,141.0145,102.0198
2014-11-10,11.3154,241.93,547.49,142.25,101.8513
2014-11-11,11.6144,251.08,550.29,142.0847,102.6655
2014-11-12,11.7842,249.1,547.31,140.884,104.1161
2014-11-13,12.0671,251.7,545.38,141.641,105.5854
2014-11-14,12.2368,258.68,544.4,142.833,106.8582
2014-11-17,12.5601,253.98,536.51,142.833,106.6804
2014-11-18,12.5278,257.7,535.03,140.8579,108.0655
2014-11-19,12.4793,247.74,536.99,140.4576,107.3168
2014-11-20,12.4954,248.71,534.83,139.7703,108.8517
2014-11-21,12.4712,242.78,537.5,140.0139,109.0014
2014-11-24,12.6652,246.72,539.27,141.0841,111.0182
2014-11-25,12.6732,248.09,541.08,140.7448,110.0589
2014-11-26,12.6167,248.44,540.37,140.9101,111.3692
2014-11-28,12.7136,244.52,541.83,141.1015,111.3036
2014-12-01,12.746,231.64,533.8,140.5533,107.6912
2014-12-02,12.851,231.43,533.75,141.5365,107.2794
2014-12-03,12.94,229.3,531.32,143.1462,108.496
2014-12-04,12.7783,228.28,537.31,142.7373,108.0842
2014-12-05,12.6894,223.71,525.26,142.0586,107.6257
2014-12-08,12.4712,214.36,526.98,140.8318,105.1924
2014-12-09,12.4712,216.89,533.37,141.815,106.8021
2014-12-10,12.253,209.84,526.06,139.6572,104.7712
2014-12-11,12.3499,208.88,528.34,140.1444,104.4624
2014-12-12,12.1156,207.0,518.66,135.1936,102.6936
2014-12-15,11.5417,204.04,513.8,133.175,101.2851
2014-12-16,11.3881,197.81,495.39,131.7394,99.9
2014-12-17,11.6791,205.82,504.89,132.1918,102.3941
2014-12-18,11.9701,218.26,511.1,137.1948,105.4263
2014-12-19,12.1479,219.29,516.35,137.917,104.6121
2014-12-22,12.3014,222.6,524.87,140.4663,105.6978
2014-12-23,12.3904,220.97,530.59,141.1624,105.3234
2014-12-24,12.3661,222.26,528.77,140.797,104.8274
2014-12-26,12.4873,227.82,534.03,141.2494,106.6804
2014-12-29,12.5439,225.71,530.33,139.6572,106.6056
2014-12-30,12.5278,222.23,530.42,139.2569,105.3047
2014-12-31,12.5278,222.41,526.4,139.5963,103.3019
2015-01-02,12.4146,219.31,524.81,141.0058,102.3192
2015-01-05,11.9297,210.09,513.87,138.7871,99.4367
2015-01-06,11.8165,211.28,501.96,135.794,99.4461
2015-01-07,12.156,210.95,501.1,134.9065,100.8406
2015-01-08,12.4631,210.615,502.68,137.8387,104.7151
2015-01-09,12.2934,206.66,496.17,138.439,104.8274
2015-01-12,12.3014,202.21,492.55,136.1159,102.2444
2015-01-13,12.2934,204.25,496.18,136.4379,103.1522
2015-01-14,12.2125,192.69,500.87,135.5591,102.7591
2015-01-15,12.0105,191.87,501.79,134.4889,99.9702
2015-01-16,12.1398,193.07,508.08,136.725,99.1934
2015-01-20,12.1317,191.93,506.9,136.5597,101.7484
2015-01-21,12.0994,196.57,518.04,132.3311,102.5251
2015-01-22,12.1479,201.62,534.39,135.2023,105.1924
2015-01-23,12.0509,201.29,539.95,135.62,105.7352
2015-01-26,12.1883,206.55,535.21,136.0463,105.8475
2015-01-27,12.0024,205.98,518.63,133.7058,102.1414
2015-01-28,11.8064,199.37,510.0,131.8612,107.9158
2015-01-29,12.1249,205.2,510.66,135.2806,111.2756
2015-01-30,12.0106,203.6,534.52,133.3926,109.6471
2015-02-02,12.4678,210.94,528.48,134.5672,111.0229
2015-02-03,12.7781,218.36,529.24,137.8822,111.0416
2015-02-04,12.9577,218.55,522.76,136.5684,111.8932
2015-02-05,12.9414,220.99,527.58,137.3949,112.6919
2015-02-06,12.9495,217.36,531.0,137.3161,111.7429
2015-02-09,12.9985,217.48,527.83,136.4662,112.4852
2015-02-10,13.1373,216.29,536.94,138.9283,114.6462
2015-02-11,13.268,212.8,535.97,138.6128,117.3333
2015-02-12,13.3578,202.88,542.93,138.8932,118.8179
2015-02-13,13.3088,203.77,549.01,140.5405,119.4004
2015-02-17,13.1536,204.35,542.84,141.0311,120.1051
2015-02-18,13.2353,204.46,539.7,142.1088,120.9366
2015-02-19,13.4149,211.705,542.87,143.5984,120.6876
2015-02-20,13.3904,217.11,538.95,143.3881,121.6694
2015-02-23,13.3741,207.335,531.91,142.7397,124.9626
2015-02-24,13.3578,204.11,536.09,144.422,124.1828
2015-02-25,13.4802,203.76,543.87,142.6521,121.0071
2015-02-26,13.3741,207.19,555.48,140.9523,122.5339
2015-02-27,13.3414,203.34,558.4,141.8898,120.697
2015-03-02,13.5292,197.325,571.34,140.6106,121.2889
2015-03-03,13.2026,199.56,573.64,141.0925,121.5426
2015-03-04,13.0883,202.435,573.37,139.6818,120.7722
2015-03-05,13.1536,200.63,575.33,141.2239,118.7709
2015-03-06,13.0067,193.88,567.685,138.8757,118.9494
2015-03-09,13.0883,190.88,568.85,140.8646,119.4568
2015-03-10,12.8352,190.32,555.01,138.2711,116.9857
2015-03-11,12.8597,193.74,551.18,137.3862,114.8529
2015-03-12,13.2026,191.07,555.51,138.4201,116.9293
2015-03-13,13.2271,188.68,547.32,135.1782,116.1213
2015-03-16,13.4639,195.7,554.51,137.6315,117.3991
2015-03-17,13.3823,194.73,550.84,137.5264,119.3628
2015-03-18,13.4394,200.71,559.5,140.0235,120.7064
2015-03-19,13.3414,195.65,557.99,140.0235,119.7903
2015-03-20,13.4557,198.08,560.36,142.7134,118.2917
2015-03-23,13.5292,199.63,558.81,144.2467,119.5225
2015-03-24,13.5211,201.72,570.19,142.8185,119.034
2015-03-25,13.2108,194.3,558.785,139.489,115.924
2015-03-26,13.072,190.405,555.17,140.7069,116.732
2015-03-27,13.0475,185.0,548.34,140.5405,115.8018
2015-03-30,13.1945,190.57,552.03,142.5294,118.7333
2015-03-31,13.1781,188.77,548.0,140.6281,116.9105
2015-04-01,12.9903,187.59,542.56,139.4715,116.7414
2015-04-02,13.0883,191.0,535.53,140.5843,117.7468
2015-04-06,13.0638,203.1,536.765,141.9774,119.6541
2015-04-07,12.9822,203.25,537.02,142.0037,118.3951
2015-04-08,13.0475,207.67,541.61,141.8109,118.0098
2015-04-09,13.023,210.09,540.78,142.2403,118.9118
2015-04-10,13.0883,210.9,540.01,142.6959,119.4192
2015-04-13,12.9577,209.78,539.17,142.2753,119.1843
2015-04-14,13.0393,207.46,530.39,142.2052,118.6675
2015-04-15,13.121,207.83,532.53,143.8086,119.1185
2015-04-16,13.0148,206.7,533.8,142.9325,118.5454
2015-04-17,12.8679,206.79,524.05,140.777,117.2112
2015-04-20,12.9903,205.27,535.38,145.5873,119.889
2015-04-21,12.9169,209.41,533.97,143.9225,119.2407
2015-04-22,12.9903,219.44,539.365,144.8863,120.8473
2015-04-23,12.8679,218.6,547.0,149.1621,121.8339
2015-04-24,12.876,218.425,565.06,148.7591,122.407
2015-04-27,12.9822,231.55,555.37,149.5915,124.6338
2015-04-28,13.1128,230.48,553.68,152.3865,122.6701
2015-04-29,13.2035,232.45,549.08,152.8071,120.8661
2015-04-30,13.0222,226.05,537.34,150.0821,117.587
2015-05-01,13.0304,226.03,537.9,152.1675,121.1574
2015-05-04,13.0057,230.51,540.78,152.4303,120.9225
2015-05-05,12.7996,232.95,530.8,151.6505,118.1977
2015-05-06,12.7584,230.43,524.22,150.1232,117.4555
2015-05-07,12.7831,236.8,530.7,150.9531,118.182
2015-05-08,12.915,236.61,538.22,152.4451,120.4087
2015-05-11,12.8985,239.49,535.7,151.0679,119.1821
2015-05-12,12.8244,244.74,529.04,150.5647,118.7528
2015-05-13,12.7007,243.18,529.62,152.0919,118.8896
2015-05-14,12.5853,244.1,538.4,153.6545,121.6635
2015-05-15,12.7584,248.84,533.85,152.9571,121.4937
2015-05-18,12.8408,248.75,532.3,152.7805,122.8334
2015-05-19,12.7749,247.14,537.36,153.1513,122.7202
2015-05-20,12.6101,244.35,539.27,153.3985,122.7108
2015-05-21,12.7831,245.62,542.51,153.0277,123.9656
2015-05-22,12.5853,247.73,540.11,152.039,125.0506
2015-05-26,12.5194,247.455,532.32,150.1939,122.2956
2015-05-27,12.6265,247.43,539.79,151.8447,124.5836
2015-05-28,12.6018,251.45,539.78,151.5887,124.3336
2015-05-29,12.5029,250.8,532.11,149.7701,122.9184
2015-06-01,12.6595,249.45,533.99,150.238,123.1589
2015-06-02,12.5771,248.35,539.18,149.7701,122.6164
2015-06-03,12.5276,248.99,540.31,150.0085,122.7674
2015-06-04,12.404,245.92,536.7,148.6489,122.0503
2015-06-05,12.1815,249.14,533.33,147.7838,121.3805
2015-06-08,12.2804,256.29,526.83,145.9652,120.5785
2015-06-09,12.2639,256.0,526.69,146.2653,120.22
2015-06-10,12.3875,250.7,536.69,149.1257,121.5975
2015-06-11,12.5936,251.41,534.61,149.0021,121.3238
2015-06-12,12.5524,250.69,532.33,147.4218,119.9841
2015-06-15,12.404,250.38,527.2,146.7774,119.7482
2015-06-16,12.3628,253.12,528.15,147.2894,120.3898
2015-06-17,12.3793,260.41,529.26,147.5807,120.1067
2015-06-18,12.4782,261.89,536.73,148.5342,120.654
2015-06-19,12.4535,262.51,536.69,147.4218,119.4463
2015-06-22,12.47,259.79,538.19,148.0751,120.3992
2015-06-23,12.6018,267.67,540.48,148.8608,119.852
2015-06-24,12.7749,265.17,537.84,147.4042,120.871
2015-06-25,12.7255,268.79,535.23,146.6185,120.2954
2015-06-26,12.6925,267.09,531.69,146.0711,119.5878
2015-06-29,12.3793,262.02,521.52,143.8729,117.4933
2015-06-30,12.3711,268.26,520.51,143.5992,118.3377
2015-07-01,12.3546,269.15,521.84,145.2148,119.4463
2015-07-02,12.2557,280.02,523.4,145.7445,119.2953
2015-07-06,12.1897,279.72,522.86,145.4267,118.8802
2015-07-07,12.2392,267.88,525.02,145.665,118.5877
2015-07-08,11.8436,254.96,516.83,144.0406,115.644
2015-07-09,11.8106,257.92,520.68,144.6498,113.2853
2015-07-10,11.9342,259.15,530.13,147.3865,116.3139
2015-07-13,12.0661,262.16,546.55,149.5318,118.5594
2015-07-14,12.2062,265.65,561.1,148.852,118.5122
2015-07-15,12.1568,263.14,560.22,148.7814,119.6539
2015-07-16,12.0084,266.68,579.85,150.9619,121.2484
2015-07-17,12.1073,274.66,672.93,152.295,122.2956
2015-07-20,12.0084,282.26,663.02,152.9218,124.6072
2015-07-21,11.959,266.77,662.3,143.9612,123.3618
2015-07-22,11.8848,267.87,662.1,141.5599,118.1443
2015-07-23,12.0414,267.2,644.28,142.7782,118.0877
2015-07-24,11.8601,265.41,623.56,141.0302,117.465
2015-07-27,11.9919,253.01,627.26,140.4299,115.8327
2015-07-28,12.2227,264.82,628.0,141.2951,116.4082
2015-07-29,12.664,263.82,631.93,142.2132,116.0403
2015-07-30,12.5724,266.79,632.59,142.0984,115.4553
2015-07-31,12.3476,266.15,625.61,143.0077,114.4458
2015-08-03,12.4392,259.99,631.21,140.1121,111.7474
2015-08-04,12.4142,266.28,629.25,139.1322,108.1621
2015-08-05,12.3226,270.13,643.78,139.397,108.8792
2015-08-06,12.3476,246.13,642.68,139.1478,109.1161
2015-08-07,12.3226,242.51,635.3,138.0796,109.4857
2015-08-10,12.4808,241.14,633.73,139.5305,113.4663
2015-08-11,12.2394,237.37,660.78,138.4267,107.5618
2015-08-12,12.2227,238.17,659.56,139.0053,109.2204
2015-08-13,12.2477,242.51,656.45,138.0351,109.1351
2015-08-14,12.306,243.15,657.12,138.6404,109.9027
2015-08-17,12.2227,254.99,660.87,139.1389,111.0401
2015-08-18,12.3476,260.72,656.13,138.8718,110.4145
2015-08-19,12.2976,255.25,660.9,137.0292,109.0024
2015-08-20,12.0145,242.18,646.83,135.8898,106.7656
2015-08-21,11.54,230.77,612.48,132.4984,100.2355
2015-08-24,10.9821,218.87,589.61,127.7094,97.7334
2015-08-25,10.7407,220.03,582.06,125.4751,98.3211
2015-08-26,10.9988,224.84,628.62,130.5845,103.9603
2015-08-27,11.2902,242.99,637.61,132.2224,107.0215
2015-08-28,11.44,248.48,630.38,131.7239,107.3722
2015-08-31,11.5483,249.06,618.25,131.6438,106.8699
2015-09-01,11.4234,238.63,597.79,127.0062,102.0932
2015-09-02,11.5483,247.69,614.34,129.1158,106.4718
2015-09-03,11.5233,245.57,606.25,130.6558,104.6047
2015-09-04,11.2902,241.93,600.7,127.9141,103.5622
2015-09-08,11.3818,248.17,614.66,131.0563,106.4434
2015-09-09,11.2652,248.91,612.72,129.1158,104.3962
2015-09-10,11.4317,248.48,621.35,130.1395,106.6898
2015-09-11,11.4151,250.24,625.77,131.1809,108.2442
2015-09-14,11.4734,253.19,623.24,129.6499,109.2867
2015-09-15,11.9146,253.57,635.14,131.3234,110.206
2015-09-16,12.1894,262.25,635.98,132.1067,110.3292
2015-09-17,12.1561,262.07,642.9,131.8664,107.9693
2015-09-18,11.8897,260.62,629.25,128.6351,107.5239
2015-09-21,11.923,264.2,635.44,130.3887,109.1919
2015-09-22,11.5899,260.94,622.69,128.5639,107.4765
2015-09-23,11.3901,261.06,622.36,127.8785,108.3484
2015-09-24,11.3651,263.12,625.8,128.5461,108.9929
2015-09-25,11.2652,256.91,611.97,129.4452,108.718
2015-09-28,10.9238,248.43,594.89,126.8637,106.5666
2015-09-29,10.9488,246.65,594.97,126.8192,103.3632
2015-09-30,11.2985,248.4,608.42,129.0446,104.5384
2015-10-01,11.3818,239.88,611.29,127.8162,103.856
2015-10-02,11.6482,247.57,626.91,128.6974,104.6142
2015-10-05,11.8147,246.15,641.47,132.6675,104.9933
2015-10-06,11.9146,241.46,645.44,132.436,105.4956
2015-10-07,12.281,231.96,642.36,133.6021,104.9933
2015-10-08,12.4808,226.72,639.16,135.5516,103.7802
2015-10-09,12.4642,220.69,643.61,135.6495,106.2633
2015-10-12,12.4725,215.58,646.67,134.5368,105.7705
2015-10-13,12.4392,219.25,652.3,133.1838,105.9506
2015-10-14,12.4975,216.88,651.16,133.5309,104.4531
2015-10-15,12.6723,221.31,661.74,133.6021,106.0169
2015-10-16,12.7223,227.01,662.2,133.8692,105.2397
2015-10-19,12.7889,228.1,666.1,132.8277,105.8937
2015-10-20,12.8055,213.03,650.28,125.1902,107.8271
2015-10-21,12.8305,210.09,642.61,125.4395,107.8177
2015-10-22,12.972,211.72,651.79,128.2613,109.4668
2015-10-23,13.047,209.09,702.0,128.7864,112.8598
2015-10-26,13.0553,215.26,712.78,127.8785,109.2583
2015-10-27,12.3976,210.35,708.49,122.7156,108.5664
2015-10-28,12.591,212.96,712.95,125.3594,113.0398
2015-10-29,12.3891,211.63,716.92,125.1101,114.234
2015-10-30,12.4564,206.93,710.81,124.6918,113.2578
2015-11-02,12.406,213.79,721.11,124.9499,114.8501
2015-11-03,12.4564,208.35,722.16,126.294,116.1675
2015-11-04,12.3219,231.63,728.11,126.0715,115.6272
2015-11-05,12.2546,231.77,731.25,124.5226,115.0942
2015-11-06,12.2125,232.36,733.76,124.2172,115.2274
2015-11-09,12.0527,225.33,724.89,121.5756,114.761
2015-11-10,12.0107,216.5,728.32,121.7193,111.1441
2015-11-11,12.0359,219.08,735.4,121.315,110.5159
2015-11-12,11.8088,212.94,731.23,119.536,110.1447
2015-11-13,11.7079,207.19,717.0,118.3769,106.9276
2015-11-16,11.8088,214.31,728.96,120.138,108.6742
2015-11-17,11.9013,214.0,725.3,120.2368,108.2125
2015-11-18,12.1621,221.07,740.0,122.0338,111.6391
