,sku,category,price
155,sku0155,Misc,3719.13
156,sku0156,Showers,977.15
157,sku0157,Toilets,2906.79
158,sku0158,Showers,4850.1
159,sku0159,Toilets,4234.14
160,sku0160,Faucets,1199.24
161,sku0161,Toilets,2468.85
162,sku0162,Faucets,3099.78
163,sku0163,Misc,4144.9
164,sku0164,Faucets,783.96
165,sku0165,Showers,92.88
166,sku0166,Faucets,350.11
167,sku0167,Faucets,2431.73
168,sku0168,Misc,3031.65
169,sku0169,Misc,2844.26
170,sku0170,Faucets,1586.81
171,sku0171,Faucets,4943.08
172,sku0172,Misc,2898.73
173,sku0173,Faucets,1900.71
174,sku0174,Toilets,2754.74
175,sku0175,Showers,3726.67
176,sku0176,Toilets,3346.16
177,sku0177,Faucets,1324.6
178,sku0178,Misc,331.67
179,sku0179,Toilets,1850.42
180,sku0180,Toilets,3148.59
181,sku0181,Showers,1050.87
182,sku0182,Toilets,3763.78
183,sku0183,Misc,332.68
184,sku0184,Showers,1301.58
185,sku0185,Showers,4023.77
186,sku0186,Faucets,967.17
187,sku0187,Misc,3197.3
188,sku0188,Faucets,2623.35
189,sku0189,Showers,4624.04
190,sku0190,Misc,1316.48
191,sku0191,Showers,329.81
192,sku0192,Faucets,3675.33
193,sku0193,Faucets,3860.89
194,sku0194,Showers,4539.08
195,sku0195,Toilets,4659.86
196,sku0196,Showers,69.76
197,sku0197,Misc,1171.81
198,sku0198,Faucets,3083.89
199,sku0199,Faucets,4745.08
200,sku0200,Showers,4750.88
201,sku0201,Faucets,2783.27
202,sku0202,Faucets,4578.03
203,sku0203,Showers,3207.83
204,sku0204,Showers,1950.04
205,sku0205,Showers,2429.95
206,sku0206,Showers,3021.55
207,sku0207,Faucets,2747.74
208,sku0208,Showers,4630.91
209,sku0209,Faucets,4593.67
210,sku0210,Showers,1974.38
211,sku0211,Showers,4816.31
212,sku0212,Faucets,869.78
213,sku0213,Misc,631.65
214,sku0214,Showers,675.4
215,sku0215,Showers,2528.31
216,sku0216,Misc,107.62
217,sku0217,Misc,4739.85
218,sku0218,Toilets,4135.58
219,sku0219,Toilets,75.09
220,sku0220,Showers,880.98
221,sku0221,Misc,1660.32
222,sku0222,Toilets,654.98
223,sku0223,Toilets,4047.45
224,sku0224,Faucets,1723.68
225,sku0225,Faucets,4700.54
226,sku0226,Faucets,2910.07
227,sku0227,Faucets,4394.16
228,sku0228,Faucets,4223.67
229,sku0229,Toilets,4526.96
230,sku0230,Faucets,2299.4
231,sku0231,Misc,2731.73
232,sku0232,Faucets,3993.02
233,sku0233,Toilets,1428.59
234,sku0234,Misc,2451.27
235,sku0235,Misc,2995.55
236,sku0236,Faucets,77.67
237,sku0237,Toilets,2967.41
238,sku0238,Showers,2168.38
239,sku0239,Faucets,4036.8
240,sku0240,Showers,1576.22
241,sku0241,Showers,4464.44
242,sku0242,Toilets,2889.29
243,sku0243,Toilets,920.05
244,sku0244,Showers,3939.65
245,sku0245,Showers,3060.16
246,sku0246,Faucets,269.55
247,sku0247,Faucets,2100.97
248,sku0248,Showers,3395.34
249,sku0249,Faucets,4593.01
250,sku0250,Faucets,2.01
251,sku0251,Misc,4883.8
252,sku0252,Misc,1882.9
253,sku0253,Toilets,4868.92
254,sku0254,Misc,3023.58
255,sku0255,Misc,4144.23
256,sku0256,Faucets,2873.56
257,sku0257,Faucets,3140.38
258,sku0258,Showers,1427.88
259,sku0259,Toilets,2934.17
260,sku0260,Showers,3750.11
261,sku0261,Toilets,4291.57
262,sku0262,Misc,3775.41
263,sku0263,Showers,3490.29
264,sku0264,Toilets,4322.4
265,sku0265,Toilets,1613.4
266,sku0266,Showers,3353.94
267,sku0267,Faucets,2254.37
268,sku0268,Showers,1910.51
269,sku0269,Toilets,2054.06
270,sku0270,Faucets,2007.4
271,sku0271,Toilets,1586.92
272,sku0272,Toilets,3109.6
273,sku0273,Faucets,2151.24
274,sku0274,Toilets,4869.01
275,sku0275,Misc,3389.0
276,sku0276,Toilets,992.85
277,sku0277,Toilets,2133.51
278,sku0278,Showers,1716.73
279,sku0279,Showers,3988.19
280,sku0280,Toilets,4399.99
281,sku0281,Misc,4519.21
282,sku0282,Faucets,3313.6
283,sku0283,Showers,1351.04
284,sku0284,Toilets,1261.83
285,sku0285,Toilets,4274.49
286,sku0286,Misc,2638.57
287,sku0287,Faucets,4010.81
288,sku0288,Faucets,2862.44
289,sku0289,Misc,3665.71
290,sku0290,Showers,2595.06
291,sku0291,Showers,3854.42
292,sku0292,Toilets,2844.29
293,sku0293,Showers,2328.55
294,sku0294,Toilets,1713.44
295,sku0295,Faucets,341.05
296,sku0296,Faucets,1889.62
297,sku0297,Toilets,398.13
298,sku0298,Toilets,4914.09
299,sku0299,Misc,908.06
300,sku0300,Misc,4059.29
301,sku0301,Misc,4374.81
302,sku0302,Showers,3442.07
303,sku0303,Misc,2847.47
304,sku0304,Faucets,804.86
305,sku0305,Toilets,2334.4
306,sku0306,Faucets,1725.86
307,sku0307,Toilets,1125.2
308,sku0308,Misc,2962.56
309,sku0309,Misc,1561.35
310,sku0310,Showers,4581.53
311,sku0311,Faucets,4548.18
312,sku0312,Toilets,1285.59
313,sku0313,Showers,554.46
314,sku0314,Faucets,964.81
315,sku0315,Showers,2497.92
316,sku0316,Toilets,3642.93
317,sku0317,Toilets,1040.97
318,sku0318,Faucets,1240.17
319,sku0319,Faucets,4258.36
320,sku0320,Faucets,2079.24
321,sku0321,Toilets,3083.43
322,sku0322,Toilets,1168.33
323,sku0323,Faucets,509.84
324,sku0324,Misc,2579.29
325,sku0325,Faucets,2385.7
326,sku0326,Faucets,763.36
327,sku0327,Misc,3109.03
328,sku0328,Misc,2720.05
329,sku0329,Misc,3270.69
330,sku0330,Faucets,722.73
331,sku0331,Misc,3757.64
332,sku0332,Faucets,1110.25
333,sku0333,Toilets,2596.76
334,sku0334,Misc,3926.48
335,sku0335,Misc,111.65
336,sku0336,Showers,1621.81
337,sku0337,Showers,4364.61
338,sku0338,Faucets,4223.55
339,sku0339,Misc,2692.2
340,sku0340,Faucets,4333.04
341,sku0341,Misc,4749.03
342,sku0342,Showers,4132.03
343,sku0343,Misc,4270.58
344,sku0344,Misc,493.72
345,sku0345,Showers,3256.52
346,sku0346,Faucets,3517.58
347,sku0347,Showers,3051.2
348,sku0348,Toilets,3998.08
349,sku0349,Faucets,172.86
350,sku0350,Misc,3851.19
351,sku0351,Toilets,3658.64
352,sku0352,Showers,1298.49
353,sku0353,Toilets,1285.35
354,sku0354,Toilets,3161.52
355,sku0355,Faucets,1726.49
356,sku0356,Faucets,3982.94
357,sku0357,Misc,2230.73
358,sku0358,Faucets,3913.75
359,sku0359,Toilets,4952.36
360,sku0360,Toilets,1501.24
361,sku0361,Faucets,715.03
362,sku0362,Toilets,4506.54
363,sku0363,Toilets,2707.8
364,sku0364,Misc,4873.7
365,sku0365,Faucets,3183.02
366,sku0366,Showers,4969.57
367,sku0367,Showers,2730.35
368,sku0368,Showers,2632.13
369,sku0369,Misc,677.14
370,sku0370,Showers,1778.53
371,sku0371,Faucets,131.09
372,sku0372,Showers,801.98
373,sku0373,Toilets,3728.19
374,sku0374,Toilets,152.0
375,sku0375,Toilets,1832.72
376,sku0376,Misc,4311.73
377,sku0377,Toilets,3463.39
378,sku0378,Toilets,3454.71
379,sku0379,Toilets,943.18
380,sku0380,Toilets,2209.52
381,sku0381,Showers,2907.89
382,sku0382,Showers,4948.76
383,sku0383,Misc,1019.53
384,sku0384,Toilets,1238.66
385,sku0385,Showers,1310.87
386,sku0386,Misc,3750.86
387,sku0387,Misc,2284.88
388,sku0388,Misc,284.65
389,sku0389,Toilets,2542.58
390,sku0390,Faucets,1059.8
391,sku0391,Toilets,3993.02
392,sku0392,Misc,1486.66
393,sku0393,Toilets,138.03
394,sku0394,Toilets,2967.16
395,sku0395,Toilets,4219.2
396,sku0396,Showers,1905.08
397,sku0397,Faucets,3749.29
398,sku0398,Faucets,2555.71
399,sku0399,Toilets,2704.76
400,sku0400,Showers,4797.17
401,sku0401,Showers,4019.8
402,sku0402,Toilets,161.62
403,sku0403,Faucets,3546.94
404,sku0404,Misc,2325.01
405,sku0405,Misc,4737.74
406,sku0406,Showers,1107.16
407,sku0407,Showers,1335.36
408,sku0408,Showers,407.37
409,sku0409,Showers,2143.09
410,sku0410,Showers,545.09
411,sku0411,Toilets,3168.93
412,sku0412,Showers,4014.82
413,sku0413,Misc,3484.0
414,sku0414,Faucets,3831.06
415,sku0415,Misc,1712.27
416,sku0416,Toilets,4229.26
417,sku0417,Faucets,2143.84
418,sku0418,Toilets,4120.05
419,sku0419,Toilets,3132.48
420,sku0420,Toilets,717.12
421,sku0421,Toilets,391.93
422,sku0422,Faucets,91.66
423,sku0423,Toilets,333.62
424,sku0424,Toilets,2292.92
425,sku0425,Misc,566.71
426,sku0426,Faucets,138.92
427,sku0427,Misc,3774.31
428,sku0428,Misc,1974.25
429,sku0429,Showers,3734.69
430,sku0430,Showers,2262.02
431,sku0431,Faucets,2250.43
432,sku0432,Misc,2390.36
433,sku0433,Showers,2370.02
434,sku0434,Misc,4015.82
435,sku0435,Faucets,2011.96
436,sku0436,Faucets,4523.43
437,sku0437,Showers,185.31
438,sku0438,Misc,3869.37
439,sku0439,Showers,628.21
440,sku0440,Misc,3092.57
441,sku0441,Toilets,51.82
442,sku0442,Misc,2693.14
443,sku0443,Showers,15.09
444,sku0444,Misc,4755.97
445,sku0445,Misc,4527.01
446,sku0446,Misc,3979.83
447,sku0447,Toilets,4576.37
448,sku0448,Faucets,727.79
449,sku0449,Faucets,788.65
450,sku0450,Showers,938.16
451,sku0451,Faucets,3112.48
452,sku0452,Faucets,4529.05
453,sku0453,Misc,4949.78
454,sku0454,Faucets,3555.61
455,sku0455,Toilets,3659.0
456,sku0456,Toilets,4546.47
457,sku0457,Misc,2004.37
458,sku0458,Toilets,1249.25
459,sku0459,Misc,867.15
460,sku0460,Faucets,597.29
461,sku0461,Misc,4063.05
462,sku0462,Showers,733.96
463,sku0463,Faucets,1321.49
464,sku0464,Toilets,4095.45
465,sku0465,Toilets,1552.94
466,sku0466,Toilets,4912.09
467,sku0467,Faucets,1333.19
468,sku0468,Toilets,2668.27
469,sku0469,Misc,1572.34
470,sku0470,Misc,4553.86
471,sku0471,Misc,1832.78
472,sku0472,Faucets,2167.96
473,sku0473,Toilets,2561.46
474,sku0474,Faucets,4694.43
475,sku0475,Faucets,154.75
476,sku0476,Faucets,3584.39
477,sku0477,Misc,4455.09
478,sku0478,Toilets,136.44
479,sku0479,Toilets,2610.26
480,sku0480,Misc,1629.95
481,sku0481,Showers,4297.45
482,sku0482,Misc,2792.58
483,sku0483,Showers,3451.14
484,sku0484,Misc,2264.27
485,sku0485,Toilets,3141.55
486,sku0486,Showers,1450.48
487,sku0487,Faucets,46.74
488,sku0488,Toilets,2883.78
489,sku0489,Faucets,1557.22
490,sku0490,Misc,2586.34
491,sku0491,Showers,4582.03
492,sku0492,Misc,2132.37
493,sku0493,Misc,1236.98
494,sku0494,Faucets,1856.47
495,sku0495,Showers,4659.31
496,sku0496,Showers,4684.34
497,sku0497,Misc,4221.65
498,sku0498,Faucets,4601.03
499,sku0499,Showers,1139.5
500,sku0500,Showers,437.41
501,sku0501,Toilets,1136.55
502,sku0502,Showers,1571.88
503,sku0503,Toilets,873.83
504,sku0504,Misc,3035.47
505,sku0505,Showers,2067.93
506,sku0506,Toilets,4081.76
507,sku0507,Misc,925.65
508,sku0508,Faucets,3509.38
509,sku0509,Showers,1201.78
510,sku0510,Toilets,2871.1
511,sku0511,Misc,1744.94
512,sku0512,Misc,284.82
513,sku0513,Showers,1144.07
514,sku0514,Misc,3320.51
515,sku0515,Showers,2486.25
516,sku0516,Misc,2595.08
517,sku0517,Faucets,873.6
518,sku0518,Toilets,2853.58
519,sku0519,Misc,4983.77
520,sku0520,Showers,4084.18
521,sku0521,Toilets,2971.86
522,sku0522,Showers,4879.95
523,sku0523,Toilets,4507.81
524,sku0524,Showers,2978.04
525,sku0525,Showers,162.13
526,sku0526,Toilets,467.89
527,sku0527,Showers,326.86
528,sku0528,Faucets,2258.67
529,sku0529,Showers,1877.17
530,sku0530,Faucets,4876.75
531,sku0531,Misc,839.92
532,sku0532,Misc,4863.94
533,sku0533,Showers,3837.37
534,sku0534,Toilets,4121.19
535,sku0535,Toilets,3163.08
536,sku0536,Misc,3343.66
537,sku0537,Faucets,2384.41
538,sku0538,Faucets,65.68
539,sku0539,Faucets,1765.03
540,sku0540,Misc,2460.36
541,sku0541,Toilets,3650.46
542,sku0542,Toilets,2343.14
543,sku0543,Toilets,2287.02
544,sku0544,Toilets,688.31
545,sku0545,Showers,54.44
546,sku0546,Faucets,3791.39
547,sku0547,Faucets,1599.76
548,sku0548,Showers,4921.92
549,sku0549,Toilets,1101.17
550,sku0550,Misc,1693.54
551,sku0551,Faucets,2619.48
552,sku0552,Showers,3774.46
553,sku0553,Showers,2319.29
554,sku0554,Faucets,624.11
555,sku0555,Faucets,1562.51
556,sku0556,Toilets,2522.6
557,sku0557,Misc,3369.25
558,sku0558,Toilets,3850.75
559,sku0559,Faucets,651.68
560,sku0560,Toilets,114.58
561,sku0561,Faucets,2595.41
562,sku0562,Showers,4049.94
563,sku0563,Toilets,63.02
564,sku0564,Faucets,3362.35
565,sku0565,Showers,3434.04
566,sku0566,Showers,2246.23
567,sku0567,Faucets,4573.94
568,sku0568,Faucets,3221.81
569,sku0569,Misc,26.2
570,sku0570,Toilets,2422.14
571,sku0571,Misc,4296.59
572,sku0572,Toilets,4152.0
573,sku0573,Faucets,3245.77
574,sku0574,Misc,3368.49
575,sku0575,Faucets,2892.5
576,sku0576,Toilets,1370.6
577,sku0577,Misc,2802.65
578,sku0578,Faucets,3358.65
579,sku0579,Faucets,1762.15
580,sku0580,Misc,4279.14
581,sku0581,Toilets,975.19
582,sku0582,Showers,3736.6
583,sku0583,Faucets,1448.01
584,sku0584,Showers,3869.0
585,sku0585,Toilets,2138.69
586,sku0586,Faucets,4038.49
587,sku0587,Faucets,1767.67
588,sku0588,Toilets,1068.47
589,sku0589,Showers,3836.42
590,sku0590,Faucets,1543.21
591,sku0591,Misc,3666.23
592,sku0592,Showers,3722.37
593,sku0593,Toilets,1106.98
594,sku0594,Toilets,1070.56
595,sku0595,Misc,994.74
596,sku0596,Toilets,712.59
597,sku0597,Toilets,1885.41
598,sku0598,Faucets,133.14
599,sku0599,Toilets,554.6
600,sku0600,Faucets,3372.82
601,sku0601,Faucets,3998.88
602,sku0602,Faucets,402.65
603,sku0603,Showers,1158.51
604,sku0604,Toilets,1038.13
605,sku0605,Showers,4586.67
606,sku0606,Misc,3556.57
607,sku0607,Toilets,2769.42
608,sku0608,Faucets,1522.59
609,sku0609,Toilets,4174.27
610,sku0610,Faucets,2176.53
611,sku0611,Showers,4617.28
612,sku0612,Misc,3530.26
613,sku0613,Toilets,2390.16
614,sku0614,Misc,631.05
615,sku0615,Faucets,4880.22
616,sku0616,Showers,799.17
617,sku0617,Toilets,1013.01
618,sku0618,Toilets,2155.91
619,sku0619,Toilets,2496.0946401712135
620,sku0620,Faucets,733.76
621,sku0621,Toilets,3646.59
622,sku0622,Showers,943.73
623,sku0623,Showers,3219.48
624,sku0624,Toilets,3771.53
625,sku0625,Showers,1053.66
626,sku0626,Faucets,3004.77
627,sku0627,Misc,3744.64
628,sku0628,Faucets,3191.09
629,sku0629,Toilets,2985.64
630,sku0630,Toilets,1477.41
631,sku0631,Showers,3658.03
632,sku0632,Misc,4726.54
633,sku0633,Faucets,2127.81
634,sku0634,Toilets,3910.91
635,sku0635,Toilets,280.71
636,sku0636,Toilets,4176.36
637,sku0637,Showers,961.25
638,sku0638,Faucets,1975.48
639,sku0639,Toilets,1500.41
640,sku0640,Faucets,400.52
641,sku0641,Faucets,4523.16
642,sku0642,Showers,1850.77
643,sku0643,Misc,2653.49
644,sku0644,Toilets,2470.58
645,sku0645,Faucets,660.81
646,sku0646,Showers,1032.27
647,sku0647,Showers,380.94
648,sku0648,Showers,2539.61
649,sku0649,Misc,1307.75
650,sku0650,Showers,1785.31
651,sku0651,Faucets,540.33
652,sku0652,Toilets,3937.76
653,sku0653,Showers,532.92
654,sku0654,Showers,4928.54
655,sku0655,Faucets,885.81
656,sku0656,Misc,2862.03
657,sku0657,Faucets,224.23
658,sku0658,Faucets,3935.58
659,sku0659,Showers,948.03
660,sku0660,Showers,2639.52
661,sku0661,Showers,3700.39
662,sku0662,Misc,749.66
663,sku0663,Faucets,2755.44
664,sku0664,Misc,1083.09
665,sku0665,Faucets,3795.98
666,sku0666,Toilets,3614.58
667,sku0667,Faucets,882.75
668,sku0668,Misc,4309.83
669,sku0669,Showers,98.88
670,sku0670,Showers,4301.18
671,sku0671,Misc,2794.52
672,sku0672,Misc,2016.1
673,sku0673,Showers,3793.73
674,sku0674,Toilets,3584.65
675,sku0675,Faucets,4936.63
676,sku0676,Toilets,1390.43
677,sku0677,Toilets,18.97
678,sku0678,Faucets,4669.51
679,sku0679,Showers,4289.49
680,sku0680,Faucets,3644.25
681,sku0681,Showers,2583.44
682,sku0682,Faucets,3534.78
683,sku0683,Faucets,3902.65
684,sku0684,Showers,1874.38
685,sku0685,Showers,3851.61
686,sku0686,Toilets,3753.12
687,sku0687,Misc,3066.06
688,sku0688,Showers,2009.33
689,sku0689,Misc,3486.54
690,sku0690,Misc,15.56
691,sku0691,Faucets,3874.48
692,sku0692,Misc,4482.08
693,sku0693,Misc,1196.58
694,sku0694,Faucets,603.84
695,sku0695,Misc,1101.42
696,sku0696,Toilets,1510.48
697,sku0697,Showers,4415.14
698,sku0698,Faucets,2715.83
699,sku0699,Misc,1433.56
700,sku0700,Faucets,691.77
701,sku0701,Faucets,1450.72
702,sku0702,Toilets,3069.36
703,sku0703,Toilets,1620.69
704,sku0704,Toilets,2286.8
705,sku0705,Showers,2220.59
706,sku0706,Misc,4140.68
707,sku0707,Toilets,2131.74
708,sku0708,Misc,1728.49
709,sku0709,Misc,3374.86
710,sku0710,Toilets,1107.41
711,sku0711,Toilets,2336.23
712,sku0712,Toilets,1573.83
713,sku0713,Toilets,3134.28
714,sku0714,Showers,4386.8
715,sku0715,Toilets,2238.45
716,sku0716,Showers,3922.29
717,sku0717,Faucets,2284.83
718,sku0718,Toilets,3281.15
719,sku0719,Showers,659.2
720,sku0720,Showers,2164.91
721,sku0721,Toilets,4546.56
722,sku0722,Faucets,3027.4
723,sku0723,Showers,3833.87
724,sku0724,Misc,2523.5
725,sku0725,Toilets,2490.28
726,sku0726,Toilets,4214.5
727,sku0727,Showers,339.03
728,sku0728,Misc,2866.36
729,sku0729,Showers,4713.81
730,sku0730,Showers,2589.3
731,sku0731,Toilets,972.33
732,sku0732,Faucets,4239.7
733,sku0733,Toilets,1258.2
734,sku0734,Faucets,3503.63
735,sku0735,Faucets,2701.3
736,sku0736,Misc,4744.18
737,sku0737,Showers,3121.68
738,sku0738,Misc,4189.89
739,sku0739,Showers,39.66
740,sku0740,Showers,4946.7
741,sku0741,Toilets,388.57
742,sku0742,Showers,1610.65
743,sku0743,Faucets,4730.76
744,sku0744,Misc,44.7
745,sku0745,Showers,4113.65
746,sku0746,Misc,4306.06
747,sku0747,Showers,2199.15
748,sku0748,Faucets,1278.73
749,sku0749,Faucets,4013.45
750,sku0750,Toilets,2389.31
751,sku0751,Misc,671.69
752,sku0752,Faucets,4639.24
753,sku0753,Faucets,4479.85
754,sku0754,Toilets,2457.73
755,sku0755,Toilets,4283.51
756,sku0756,Showers,2092.89
757,sku0757,Showers,3417.32
758,sku0758,Toilets,1989.95
759,sku0759,Showers,2528.71
760,sku0760,Toilets,947.76
761,sku0761,Misc,4824.94
762,sku0762,Misc,1471.08
763,sku0763,Faucets,517.3
764,sku0764,Misc,721.58
765,sku0765,Showers,70.46
766,sku0766,Toilets,3579.73
767,sku0767,Misc,2822.49
768,sku0768,Toilets,3972.89
769,sku0769,Showers,2535.4
770,sku0770,Toilets,3959.11
771,sku0771,Misc,3478.82
772,sku0772,Showers,3889.24
773,sku0773,Misc,2032.41
774,sku0774,Misc,3238.85
775,sku0775,Showers,898.97
776,sku0776,Misc,1609.1
777,sku0777,Toilets,863.02
778,sku0778,Toilets,2043.19
779,sku0779,Showers,1207.09
780,sku0780,Showers,2034.61
781,sku0781,Toilets,4876.11
782,sku0782,Showers,1601.6
783,sku0783,Faucets,4912.45
784,sku0784,Toilets,3181.53
785,sku0785,Toilets,1875.46
786,sku0786,Misc,4287.42
787,sku0787,Toilets,3097.93
788,sku0788,Faucets,1260.17
789,sku0789,Toilets,3964.28
790,sku0790,Misc,2164.69
791,sku0791,Showers,1787.56
792,sku0792,Showers,1651.38
793,sku0793,Toilets,3486.84
794,sku0794,Faucets,1343.25
795,sku0795,Toilets,4041.39
796,sku0796,Misc,1476.44
797,sku0797,Showers,2720.61
798,sku0798,Faucets,2439.61
799,sku0799,Toilets,4276.78
800,sku0800,Misc,4441.93
801,sku0801,Misc,921.92
802,sku0802,Showers,2926.74
803,sku0803,Misc,4491.03
804,sku0804,Faucets,2230.59
805,sku0805,Misc,4609.34
806,sku0806,Misc,1394.95
807,sku0807,Faucets,3044.16
808,sku0808,Showers,3412.27
809,sku0809,Faucets,1141.03
810,sku0810,Toilets,68.84
811,sku0811,Toilets,2083.62
812,sku0812,Toilets,4692.41
813,sku0813,Faucets,1715.14
814,sku0814,Misc,3898.72
815,sku0815,Showers,873.68
816,sku0816,Misc,1709.76
817,sku0817,Misc,722.99
818,sku0818,Faucets,3583.85
819,sku0819,Misc,3496.54
820,sku0820,Showers,3442.49
821,sku0821,Toilets,1266.98
822,sku0822,Misc,3461.8
823,sku0823,Showers,1136.49
824,sku0824,Toilets,2123.25
825,sku0825,Faucets,1859.61
826,sku0826,Misc,1776.54
827,sku0827,Faucets,288.27
828,sku0828,Faucets,3158.23
829,sku0829,Misc,3536.58
830,sku0830,Faucets,3067.94
831,sku0831,Misc,3241.56
832,sku0832,Toilets,849.7
833,sku0833,Showers,747.23
834,sku0834,Showers,2570.88
835,sku0835,Showers,4376.66
836,sku0836,Misc,919.77
837,sku0837,Toilets,2314.2
838,sku0838,Showers,2144.66
839,sku0839,Misc,2486.45
840,sku0840,Faucets,807.55
841,sku0841,Misc,1712.2
842,sku0842,Faucets,1309.4
843,sku0843,Faucets,4222.63
844,sku0844,Faucets,4001.66
845,sku0845,Toilets,2133.2
846,sku0846,Faucets,3035.08
847,sku0847,Faucets,727.33
848,sku0848,Faucets,2548.07
849,sku0849,Misc,1484.74
850,sku0850,Faucets,4298.25
851,sku0851,Misc,3357.99
852,sku0852,Toilets,3167.37
853,sku0853,Misc,623.76
854,sku0854,Faucets,2352.94
855,sku0855,Toilets,4932.86
